Bias,Excitation
1.121,0.092319
1.12,0.091322
1.119,0.092878
1.118,0.092232
1.117,0.091778
1.116,0.091658
1.115,0.09168
1.114,0.091529
1.113,0.091641
1.112,0.091866
1.111,0.091801
1.11,0.09161
1.109,0.092373
1.108,0.091695
1.107,0.091651
1.106,0.092422
1.105,0.091535
1.104,0.091215
1.103,0.090773
1.102,0.091588
1.101,0.091984
1.1,0.091356
1.099,0.091826
1.098,0.09216
1.097,0.091504
1.096,0.092037
1.095,0.092126
1.094,0.091884
1.093,0.091778
1.092,0.091695
1.091,0.092888
1.09,0.091246
1.089,0.091957
1.088,0.091621
1.087,0.091968
1.086,0.091669
1.085,0.092124
1.084,0.092839
1.083,0.092259
1.082,0.091715
1.081,0.092227
1.08,0.092353
1.079,0.092788
1.078,0.091854
1.077,0.092013
1.076,0.092179
1.075,0.091881
1.074,0.092224
1.073,0.091631
1.072,0.092075
1.071,0.091191
1.07,0.092285
1.069,0.092241
1.068,0.091591
1.067,0.091551
1.066,0.091298
1.065,0.091823
1.064,0.091829
1.063,0.092369
1.062,0.091799
1.061,0.091929
1.06,0.092425
1.059,0.092324
1.058,0.091868
1.057,0.091653
1.056,0.091658
1.055,0.09237
1.054,0.09271
1.053,0.092398
1.052,0.091793
1.051,0.090824
1.05,0.092088
1.049,0.092356
1.048,0.091661
1.047,0.092457
1.046,0.09135
1.045,0.09269
1.044,0.092088
1.043,0.092004
1.042,0.090892
1.041,0.09131
1.04,0.091174
1.039,0.091729
1.038,0.09187
1.037,0.090705
1.036,0.091853
1.035,0.091938
1.034,0.091993
1.033,0.09116
1.032,0.091331
1.031,0.091182
1.03,0.091828
1.029,0.091982
1.028,0.092096
1.027,0.092771
1.026,0.092357
1.025,0.091941
1.024,0.089265
1.023,0.091135
1.022,0.091582
1.021,0.091669
1.02,0.092111
1.019,0.090872
1.018,0.090726
1.017,0.092222
1.016,0.092149
1.015,0.091793
1.014,0.09235
1.013,0.091096
1.012,0.092131
