zins_zinsarray,Vs_zinsarray,F_zinsarray
5.35,-0.4524942685002128,-2.707464281684453e-13
5.449999999999999,-0.44614386416182883,-2.634125112567829e-13
5.55,-0.43949073317917425,-2.565544486910584e-13
5.649999999999999,-0.43257825364850017,-2.501214566140289e-13
5.75,-0.4254617474460372,-2.440634492290751e-13
5.849999999999999,-0.41820286264483186,-2.383330509300668e-13
5.95,-0.41086344494616467,-2.3288743678997805e-13
6.049999999999999,-0.4035004386135008,-2.2768951943967046e-13
6.1499999999999995,-0.3961626855771052,-2.2270831861108973e-13
6.249999999999999,-0.38888967424079945,-2.179186422220558e-13
6.35,-0.38171176045155847,-2.1330034691085377e-13
6.449999999999999,-0.37465123865801025,-2.0883743864966108e-13
6.55,-0.36772374639296246,-2.0451719434469991e-13
6.649999999999999,-0.3609396708816749,-2.0032939847330706e-13
6.75,-0.3543053906988366,-1.962657253369504e-13
6.849999999999999,-0.34782429517031854,-1.923192614941622e-13
6.95,-0.3414975843333222,-1.8848414731526978e-13
7.049999999999999,-0.3353248786575201,-1.8475531291616407e-13
7.1499999999999995,-0.32930467500831595,-1.8112828574334687e-13
7.249999999999999,-0.32343468342199605,-1.775990511194635e-13
7.35,-0.31771207385660966,-1.7416395128674517e-13
7.449999999999999,-0.31213365604177074,-1.7081961215796117e-13
7.55,-0.3066960101038452,-1.6756288990325654e-13
7.649999999999999,-0.3013955811802978,-1.6439083170906433e-13
7.75,-0.29622874776626484,-1.6130064666670631e-13
7.849999999999999,-0.2911918709188653,-1.58289683917656e-13
7.95,-0.28628132950734286,-1.5535541601655613e-13
8.05,-0.28149354527978926,-1.524954260646255e-13
8.15,-0.276825000486194,-1.4970739758376112e-13
8.25,-0.2722722500517658,-1.4698910639726945e-13
8.35,-0.26783192975378906,-1.443384139915182e-13
8.450000000000001,-0.2635007614645637,-1.4175326198075794e-13
8.55,-0.2592755562394414,-1.3923166740227227e-13
8.65,-0.2551532158230038,-1.367717186438168e-13
8.75,-0.25113073299631744,-1.3437157185879274e-13
8.850000000000001,-0.24720519107844455,-1.3202944776302077e-13
8.950000000000001,-0.24337376281484327,-1.2974362873467865e-13
9.05,-0.23963370882597548,-1.2751245615904154e-13
9.15,-0.23598237574556852,-1.2533432797426247e-13
9.25,-0.2324171941454651,-1.2320769638513833e-13
9.35,-0.2289356763196019,-1.211310657195714e-13
9.450000000000001,-0.22553541398172242,-1.191029904083589e-13
9.549999999999999,-0.22221407591759973,-1.1712207307311858e-13
9.65,-0.21896940562239361,-1.1518696271043512e-13
9.75,-0.2157992189459653,-1.1329635296269651e-13
9.850000000000001,-0.2127014017630906,-1.1144898046790839e-13
9.95,-0.20967390768103147,-1.0964362328215122e-13
10.05,-0.20671475579350804,-1.0787909936939979e-13
10.15,-0.20382202848750383,-1.0615426515423621e-13
10.25,-0.2009938693073376,-1.0446801413361648e-13
10.35,-0.19822848087890044,-1.028192755443434e-13
10.450000000000001,-0.19552412289578888,-1.0120701308329098e-13
10.55,-0.19287911016815884,-9.963022367773165e-14
10.65,-0.19029181073444487,-9.808793630337526e-14
10.749999999999998,-0.18776064403556436,-9.657921084792982e-14
10.85,-0.1852840791508293,-9.510313701816606e-14
10.950000000000001,-0.18286063309449724,-9.365883328861204e-14
11.05,-0.18048886917166793,-9.224544589012297e-14
11.149999999999999,-0.1781673953920805,-9.086214783667957e-14
