Vg_biasarray,Vs_biasarray,F_biasarray,df_biasarray,dg_biasarray
1.5999999999999996,0.2330086102657699,-6.29577022935881e-10,-161.62420089515192,240.06311515585415
1.6500000000000004,0.23373099487479398,-6.474370810939777e-10,-166.10781464718553,245.859573141768
1.7000000000000002,0.23444357455303097,-6.655505668248466e-10,-170.65507951332063,251.68974246819192
1.75,0.23514660987233238,-6.839175315243141e-10,-175.26600840109074,257.5522060754978
1.7999999999999998,0.2358403512078577,-7.025380252078139e-10,-179.94061387148506,263.4455585512311
1.8499999999999996,0.23652503926109986,-7.21412096564998e-10,-184.67890815255137,269.36840672174395
1.9000000000000004,0.23720090554991133,-7.405397930115234e-10,-189.48090315241154,275.3193702094215
1.9500000000000002,0.23786817286799183,-7.599211607381848e-10,-194.346610471665,281.29708197246583
1.9500000000000002,0.2348947312033853,-7.59920243191781e-10,-194.34656650403127,281.29702819265356
1.9000000000000004,0.2342275302624871,-7.405388613322314e-10,-189.4808571642879,275.31931346426666
1.8499999999999996,0.23355173273565377,-7.214111505056202e-10,-184.67886010947532,269.36834692494364
1.7999999999999998,0.23286711594632012,-7.025370645126708e-10,-179.9405637376679,263.44549561465675
1.75,0.23217344850110308,-6.839165559288551e-10,-175.26595613926358,257.55213990734507
1.7000000000000002,0.23147048983087504,-6.655495760552219e-10,-170.65502508469376,251.6896729743103
1.6500000000000004,0.2307579897013492,-6.474360748666092e-10,-166.10775801138965,245.85950022455665
1.5999999999999996,0.2300356876907215,-6.295760009569804e-10,-161.62414201006396,240.06303871381007
1.5499999999999998,0.22930331263167947,-6.119693014817009e-10,-157.2041638102322,234.30171653215325
1.5,0.2285605820148461,-5.94615922096857e-10,-152.84780976490828,228.57697216089335
1.4500000000000002,0.22780720135038202,-5.775158068943807e-10,-148.55506583444514,222.89025380491302
1.4000000000000004,0.22704286348426272,-5.606688983343945e-10,-144.32591756942082,217.24301870122173
1.3499999999999996,0.22626724786525165,-5.440751371728484e-10,-140.16035009253454,211.63673239712605
1.2999999999999998,0.22548001975830384,-5.277344623851528e-10,-136.05834807941673,206.0728680036714
1.25,0.22468082939963416,-5.116468110851318e-10,-132.01989573828754,200.55290542518364
1.2000000000000002,0.22386931108820396,-4.958121184390047e-10,-128.04497678835187,195.0783305581991
1.1500000000000004,0.22304508220781985,-4.802303175739901e-10,-124.133574436872,189.65063446648855
1.0999999999999996,0.22220774217346947,-4.6490133948214145e-10,-120.28567135475642,184.27131253359792
1.0499999999999998,0.2213568712944974,-4.498251129141611e-10,-116.5012496506153,178.94186358455698
1.0,0.22049202954723365,-4.3500156427261644e-10,-112.78029084310832,173.66378898735235
0.9500000000000002,0.21961275524763613,-4.2043061749264706e-10,-109.12277583143776,168.4385917251458
0.8999999999999999,0.21871856361451694,-4.061121939170049e-10,-105.52868486389397,163.26777544537674
0.8500000000000001,0.21780894521222913,-3.9204621216211485e-10,-101.99799750419403,158.15284348782632
0.7999999999999998,0.21688336426055452,-3.782325879747843e-10,-98.53069259550968,153.09529788415912
